고객번호,주소,지역,도시,담당자명,고객회사명,담당자직위,마일리지,전화번호
ACDDR,송파구 잠실동 220,,서울특별시,이은광,굿모닝서울,영업 과장,15911,(02)978-1984
ADHTR,동작구 흑석 3동 140-3,,서울특별시,김병현,엘케이 상사,영업 사원,406,(02)345-1945
AIHTR,가학동 301,경기도,광명시,김성민,씨엔그룹,영업 사원,8788,(02)31-0345
ANKFR,성북구 길음동 136-11,,서울특별시,최지수,오리안무역 ,마케팅 과장,6119,(02)123-0345
ANRFR,수택동 435,경기도,구리시,강준,남해종합식품,마케팅 과장,106,(034)756-2091
ANSFR,동작구 대방동 36-8,,서울특별시,김민경,서보앰엔에프,영업 사원,729,(02)211-2221
ATRAN,서초구 방배동 883-11,,서울특별시,배순용,대정 인터내셔널,대표 이사,128790,(02)681-6889
AUSBL,서대문구 남가좌 1동 121,,서울특별시,박지혜,제원인터내쇼날,영업 사원,47865,(02)811-1234
BEVBS,구산동 17-111,경상남도,김해시,오선주,케이리할리스,영업 사원,8758,(0525)342-3333
BQQZA,서초구 서초동 120-3,,서울특별시,황수영,비큐큐푸드,대표 이사,100,(02)456-9876
CARRI,비전 1동 118-36,경기도,평택시,이두원,진가식품,영업 사원,122,(033)945-1932
CCOPI,구로구 오류 1동 101,,서울특별시,김효정,진산푸드,영업 과장,1034,(02)100-1670
CORLA,구로구 가리봉 1동 22-1,,서울특별시,이상훈,한승F&B,영업 사원,1331,(02)123-7981
CSURI,서대문구 창천동 167-3,,서울특별시,이소영,유로에이치,영업 과장,6608,(02)712-8931
CTEVI,중구 답동 78,,인천광역시,김유환,한국맥널트 무역,영업 사원,939,(032)58-1984
CTUCA,강남구 대치동 315-11,,서울특별시,우지선,유성물산교역,영업 사원,7232,(02)943-4486
DOSGO,중구 광희동 1가 188-3,,서울특별시,김태욱,프루트코리아,영업 과장,713,(02)545-8911
DWOOL,도봉구 미아 7동 334-7,,서울특별시,김예진,하이롱 식품,영업 사원,6935,(02)774-1290
EALGR,종로구 송현동 87-14,,서울특별시,김웅인,주은통상,마케팅 과장,1068,(02)676-6766
EANOC,종로구 와룡동 336,,서울특별시,김승정,경북무역,영업 사원,1140,(02)907-1884
EBITH,남동구 간석동 264-11,,인천광역시,홍소현,그린로더스,마케팅 과장,81479,(032)945-1846
ECDSP,서초구 방배본동 102-3,,서울특별시,조재민,와이지트레이드,마케팅 과장,139,(02)184-1484
ECRTH,종로구 내자동 190-53,,서울특별시,권덕현,플라워푸드,영업 사원,364,(02)954-1397
EDEQU,동구 신흥동 75-3,,대전광역시,박은빈,에이원카프,회계 과장,139,(042)845-1093
EENQU,중구 남산동 3가 43,,서울특별시,박지윤,진산푸드 ,마케팅 담당,653,(02)764-7644
ENEKO,서구가좌 1동 7,,인천광역시,윤석영,엠앤에스푸드,영업 사원,1258,(032)46-4565
FFEVA,마포구 동교동 211-11,,서울특별시,김시혜,보성허브,영업 과장,906,(02)456-5667
FKIAL,가장동 78-3,경상북도,상주시,권기호,태원 산업,영업 사원,7065,(0582)575-5776
GAAMA,용산구 용문동 81-3,,서울특별시,황진영,이베르코 무역,마케팅 과장,136,(02)890-1109
GGCRE,송파구 마천동 120,,서울특별시,유휘재,경민코퍼레이션,영업 사원,114,(02)903-1908
HMSLE,마포구 대흥동 77-5,,서울특별시,조효주,대화유피스,영업 사원,78001,(02)999-9938
ICKQU,서구 연희동 400-16,,인천광역시,정대광,인터비스,회계 과장,857,(032)44-1114
INIPR,덕진구 고랑동 290,전라북도,전주시,박동찬,시드니식품,영업 사원,943,(065)145-1895
ISDMA,생연 1동 416-1,경기도,동두천시,김경태,선인 상사,영업 사원,631,(0351)89-1098
ITCWH,동대문구 신설동 721-11,,서울특별시,박준영,한영킹푸드,대표 이사,9897,(02)222-1113
LAAHI,중앙로 3가 150-1,강원도,춘천시,신민주,성민식품상사,영업 사원,382,(0369)39-1243
LASLI,중구 광희동 1가 100-41,,서울특별시,지승환,조흥식품,회계 과장,22260,(02)232-9181
LATIS,강남구 개포동 135-24,,서울특별시,오명일,우양 통상,마케팅 과장,8722,(02)813-1111
LEDGA,도봉구 방학 3동 18,,서울특별시,김진혁,상미식품,마케팅 과장,917,(02)892-4921
LIDBO,부산진구 당감 3동 611-3,,부산광역시,송아린,진흥 상사,대표 이사,2819,(051)784-1945
LIGFO,양천구신월 3동 67-18,,서울특별시,정지윤,신영 푸드,영업 사원,449,(02)211-3421
LIRSP,남구 소사 3동 146,경기도,부천시,최해주,세미원푸드,영업 과장,7106,(032)11-9438
LKOFO,중앙동 427-10,경기도,과천시,조희진,진영무역,대표 이사,8607,(02)768-7688
LLIWE,부산진구 양정 1동 462-77,,부산광역시,박소영,태산무역,영업 과장,806,(051)555-5111
LMKWI,용산구 동자동 181-7,,서울특별시,조가영,태흥푸드,대표 이사,36960,(02)812-4864
LZAWO,건입동 111-16,제주도,제주시,주민영,오뚜락,대표 이사,8838,(064)643-2871
MAILA,동구 자양동 34-16,,대전광역시,이소연,그린월드푸드 ,영업 과장,428,(042)91-1295
MEYRO,외삼미동 123-8,경기도,오산시,이수호,뉴서울제과,회계 과장,409,(033)956-9859
MIAFA,마포구 공덕 1동 81,,서울특별시,정솔미,푸드웰 통상,마케팅 담당,662,(02)866-6667
MMICO,노원구 공릉동 178,,서울특별시,이성은,헤리토 상사,영업 사원,124,(02)878-9174
MOBSI,권선구 세류 3동 116,경기도,수원시,조연희,시대 통상,대표 이사,7135,(0331)56-1431
MONDU,강동구 성내동 143,,서울특별시,이재열,진해푸드,대표 이사,4036,(02)444-2971
MSPTO,중구 원미 1동 120-16,경기도,부천시,김도연,보라티,마케팅 과장,123,(032)110-1238
NAPBO,용산구 갈월동 116-7,,서울특별시,신종수,민성 무역,대표 이사,10006,(02)497-4896
NARHA,강제동 57-11,충청북도,제천시,손창민,청운유통,회계 과장,3852,(0443)110-2181
NCHRA,강서구 화곡 1동 77-3,,서울특별시,서현지,쉐프스푸드,영업 사원,8717,(02)342-1111
NDKWA,강서구 오쇠동 124-7,,서울특별시,김지현,코리아유통,영업 사원,3967,(02)132-3845
NEPLO,고잔동 16,경기도,안산시,홍지우,신푸드,영업 과장,1149,(0345)78-1110
NETVI,도봉구 창 1동 218-16,,서울특별시,김재경,대두식품,회계 과장,130,(02)222-2243
NGCHU,동작구 신대방동 10-6,,서울특별시,오용석,대덕종합무역,영업 사원,1020,(02)444-1978
NGOHU,동구 범일 3동 14-1,,부산광역시,오유진,케이티에스씨,영업 사원,7795,(051)820-1993
NODLI,동작구 노량진 1동 71,,서울특별시,최효신,지앤씨푸드,대표 이사,1116,(02)668-1097
NSHCO,소하동 11-3,경기도,광명시,이승연,은혜식품,영업 사원,387,(02)489-9184
NSHER,중구 도원동 507-16,,인천광역시,정다경,솜인터내셔널,영업 과장,120,(032)921-9284
NTCCE,남동구 간석 3동 270-8,,인천광역시,유석희,코스리아 무역,마케팅 과장,112,(032)944-3687
NTGSA,서대문구 미근동 11-7,,서울특별시,이영훈,한지생활건강,대표 이사,884,(02)108-1298
ONPBL,영등포구 당산동 3가 16,,서울특별시,서우진,한얼트레이딩,마케팅 과장,903,(02)111-2954
OPSCH,강남구 청담동 115,,서울특별시,윤성준,태화농산,대표 이사,3888,(02)134-5897
OSRGR,서대문구 북아현 3동 36-6,,서울특별시,서한석,프라하바이오,대표 이사,432,(02)111-2302
